D{0-1}KP 动态规划求解结果
================================================================================
实例名称: IDKP9
dimension: 2700
组数: 900
capacity: 454989
是否排序后求解: False
最优总价值: 528144
总重量: 454989
选中组数: 446
求解时间(秒): 6.049415
================================================================================

排序后序号       原始组号      选中项     重量        价值        价值重量比         
351         351       3       1190      1343      1.128571      
353         353       3       1446      1488      1.029046      
354         354       3       1059      1257      1.186969      
355         355       3       1415      1402      0.990813      
356         356       3       935       991       1.059893      
357         357       3       939       1058      1.126731      
358         358       3       626       654       1.044728      
362         362       3       804       1222      1.519900      
366         366       3       968       1575      1.627066      
367         367       3       1080      1089      1.008333      
369         369       3       1032      1183      1.146318      
370         370       3       868       1214      1.398618      
373         373       3       534       649       1.215356      
374         374       3       994       1063      1.069416      
375         375       3       996       1261      1.266064      
376         376       3       592       626       1.057432      
377         377       3       839       1270      1.513707      
380         380       3       974       1018      1.045175      
382         382       3       1452      1711      1.178375      
383         383       3       1304      1391      1.066718      
384         384       3       642       643       1.001558      
385         385       3       1068      1121      1.049625      
387         387       3       997       1260      1.263791      
389         389       3       932       1148      1.231760      
392         392       3       644       840       1.304348      
398         398       3       1016      1223      1.203740      
402         402       3       574       702       1.222997      
403         403       3       866       887       1.024249      
405         405       3       1383      1564      1.130875      
407         407       3       565       579       1.024779      
408         408       3       1397      1660      1.188261      
409         409       3       1006      1024      1.017893      
410         410       3       936       980       1.047009      
412         412       3       1029      1052      1.022352      
415         415       3       1259      1270      1.008737      
416         416       3       910       918       1.008791      
417         417       3       751       983       1.308921      
420         420       3       653       800       1.225115      
421         421       3       639       818       1.280125      
422         422       3       589       695       1.179966      
425         425       3       1170      1191      1.017949      
427         427       3       1275      1523      1.194510      
428         428       3       1103      1109      1.005440      
430         430       3       1226      1249      1.018760      
432         432       3       853       974       1.141852      
433         433       3       1016      1132      1.114173      
437         437       3       492       669       1.359756      
439         439       3       1256      1360      1.082803      
440         440       3       1057      1125      1.064333      
442         442       3       825       1077      1.305455      
444         444       3       1215      1336      1.099588      
445         445       3       1256      1317      1.048567      
449         449       3       447       507       1.134228      
450         450       3       1065      1161      1.090141      
452         452       3       716       746       1.041899      
453         453       3       1005      1557      1.549254      
454         454       3       973       1302      1.338129      
456         456       3       1084      1212      1.118081      
457         457       3       819       1232      1.504274      
460         460       3       1041      1622      1.558117      
464         464       3       806       911       1.130273      
467         467       3       1297      1440      1.110254      
469         469       3       1071      1068      0.997199      
473         473       3       579       819       1.414508      
475         475       3       1023      1005      0.982405      
477         477       3       937       981       1.046958      
478         478       3       1210      1478      1.221488      
479         479       3       1379      1346      0.976070      
480         480       3       1416      1585      1.119350      
481         481       3       1337      1429      1.068811      
483         483       3       1231      1649      1.339561      
484         484       3       1003      1094      1.090728      
485         485       3       371       391       1.053908      
486         486       3       748       734       0.981283      
487         487       3       595       824       1.384874      
488         488       3       729       812       1.113855      
489         489       3       751       832       1.107856      
490         490       3       1186      1301      1.096965      
494         494       3       1120      1592      1.421429      
496         496       3       1481      1762      1.189737      
497         497       3       1139      1352      1.187006      
499         499       3       860       1184      1.376744      
500         500       3       587       572       0.974446      
502         502       3       1202      1259      1.047421      
504         504       3       1177      1327      1.127443      
507         507       3       771       1145      1.485084      
508         508       3       1433      1542      1.076064      
510         510       3       1310      1316      1.004580      
512         512       3       940       1041      1.107447      
514         514       3       875       978       1.117714      
515         515       3       1246      1632      1.309791      
516         516       3       1107      1164      1.051491      
517         517       3       915       1038      1.134426      
518         518       3       1711      1921      1.122735      
520         520       3       1427      1654      1.159075      
525         525       3       1147      1297      1.130776      
527         527       3       1065      1220      1.145540      
529         529       3       841       1186      1.410226      
531         531       3       522       646       1.237548      
532         532       3       1096      1902      1.735401      
535         535       3       745       933       1.252349      
539         539       3       906       930       1.026490      
542         542       3       1123      1115      0.992876      
544         544       3       1240      1282      1.033871      
545         545       3       1288      1569      1.218168      
547         547       3       1162      1333      1.147160      
548         548       3       997       1043      1.046138      
551         551       3       941       945       1.004251      
552         552       3       929       1114      1.199139      
556         556       3       1354      1570      1.159527      
558         558       3       827       855       1.033857      
559         559       3       1532      1496      0.976501      
561         561       3       773       1049      1.357050      
563         563       3       1173      1170      0.997442      
566         566       3       932       1027      1.101931      
568         568       3       1089      1165      1.069789      
569         569       3       1152      1633      1.417535      
570         570       3       1218      1650      1.354680      
573         573       3       940       966       1.027660      
574         574       3       1057      1299      1.228950      
576         576       3       822       804       0.978102      
580         580       3       741       820       1.106613      
581         581       3       1278      1796      1.405321      
582         582       3       1329      1713      1.288939      
589         589       3       1306      1394      1.067381      
591         591       3       1419      1688      1.189570      
592         592       3       902       955       1.058758      
593         593       3       1155      1526      1.321212      
595         595       3       817       867       1.061200      
596         596       3       1401      1535      1.095646      
601         601       3       1271      1507      1.185681      
603         603       3       824       1350      1.638350      
604         604       3       979       1229      1.255363      
605         605       3       670       684       1.020896      
610         610       3       1690      1865      1.103550      
611         611       3       631       639       1.012678      
613         613       3       1482      1652      1.114710      
615         615       3       806       816       1.012407      
616         616       3       589       853       1.448217      
618         618       3       1238      1331      1.075121      
619         619       3       862       1074      1.245940      
621         621       3       1010      1019      1.008911      
622         622       3       1389      1587      1.142549      
623         623       3       1751      1854      1.058824      
624         624       3       962       1155      1.200624      
625         625       3       958       969       1.011482      
626         626       3       563       773       1.373002      
630         630       3       1026      1207      1.176413      
632         632       3       1155      1274      1.103030      
634         634       3       1425      1486      1.042807      
637         637       3       1200      1191      0.992500      
639         639       3       868       1290      1.486175      
640         640       3       516       501       0.970930      
644         644       3       1115      1114      0.999103      
646         646       3       902       1231      1.364745      
647         647       3       935       1605      1.716578      
650         650       3       816       894       1.095588      
654         654       3       841       999       1.187872      
658         658       3       544       592       1.088235      
661         661       3       1789      1759      0.983231      
663         663       3       320       319       0.996875      
665         665       3       1272      1353      1.063679      
668         668       3       673       777       1.154532      
669         669       3       1116      1400      1.254480      
670         670       3       620       726       1.170968      
672         672       3       1144      1508      1.318182      
673         673       3       1543      1531      0.992223      
682         682       3       1351      1739      1.287195      
683         683       3       1243      1418      1.140788      
684         684       3       698       752       1.077364      
687         687       3       1302      1474      1.132104      
688         688       3       1501      1561      1.039973      
689         689       3       1480      1550      1.047297      
691         691       3       1290      1815      1.406977      
692         692       3       779       1137      1.459564      
694         694       3       1226      1587      1.294454      
696         696       3       1700      1821      1.071176      
701         701       3       412       527       1.279126      
702         702       3       703       782       1.112376      
704         704       3       1555      1533      0.985852      
705         705       3       676       731       1.081361      
711         711       3       1202      1500      1.247920      
713         713       3       994       978       0.983903      
719         719       3       1603      1706      1.064255      
721         721       3       551       553       1.003630      
722         722       3       1446      1871      1.293914      
724         724       3       1570      1577      1.004459      
725         725       3       801       800       0.998752      
728         728       3       900       990       1.100000      
729         729       3       749       852       1.137517      
731         731       3       727       794       1.092160      
735         735       3       982       1120      1.140530      
738         738       3       786       912       1.160305      
739         739       3       1068      1275      1.193820      
743         743       3       1295      1682      1.298842      
744         744       3       1047      1065      1.017192      
745         745       3       515       644       1.250485      
747         747       3       1422      1464      1.029536      
750         750       3       1094      1518      1.387569      
751         751       3       1084      1172      1.081181      
752         752       3       945       1057      1.118519      
753         753       3       1478      1685      1.140054      
754         754       3       1383      1453      1.050615      
758         758       3       630       693       1.100000      
762         762       3       1438      1588      1.104312      
766         766       3       1474      1514      1.027137      
767         767       3       844       862       1.021327      
768         768       3       1737      1849      1.064479      
769         769       3       979       989       1.010215      
770         770       3       1039      1067      1.026949      
772         772       3       1050      1110      1.057143      
774         774       3       1088      1371      1.260110      
775         775       3       1097      1282      1.168642      
776         776       3       847       1047      1.236128      
778         778       3       892       1411      1.581839      
781         781       3       591       594       1.005076      
783         783       3       1448      1454      1.004144      
792         792       3       1155      1384      1.198268      
793         793       3       1254      1356      1.081340      
794         794       3       1281      1308      1.021077      
796         796       3       1087      1170      1.076357      
797         797       3       900       1035      1.150000      
798         798       3       740       958       1.294595      
801         801       3       1015      1033      1.017734      
807         807       3       1100      1554      1.412727      
808         808       3       805       822       1.021118      
812         812       3       940       994       1.057447      
814         814       3       1101      1647      1.495913      
817         817       3       1199      1565      1.305254      
819         819       3       829       863       1.041013      
820         820       3       623       722       1.158909      
821         821       3       948       1072      1.130802      
822         822       3       1328      1765      1.329066      
823         823       3       1108      1291      1.165162      
825         825       3       1454      1848      1.270977      
826         826       3       892       1248      1.399103      
827         827       3       1249      1235      0.988791      
828         828       3       712       701       0.984551      
829         829       3       1116      1283      1.149642      
830         830       3       1026      1239      1.207602      
834         834       3       1052      1285      1.221483      
837         837       3       807       1050      1.301115      
842         842       3       968       1130      1.167355      
843         843       3       1339      1316      0.982823      
844         844       3       920       1016      1.104348      
845         845       3       1211      1291      1.066061      
847         847       3       1148      1201      1.046167      
848         848       3       1143      1731      1.514436      
849         849       3       1102      1504      1.364791      
853         853       3       853       883       1.035170      
854         854       3       938       1029      1.097015      
855         855       3       1228      1486      1.210098      
856         856       3       947       1231      1.299894      
857         857       3       613       627       1.022838      
862         862       3       1374      1619      1.178311      
863         863       3       1453      1878      1.292498      
865         865       3       1004      1415      1.409363      
873         873       3       944       946       1.002119      
874         874       3       1248      1343      1.076122      
876         876       3       1061      1288      1.213949      
877         877       3       667       683       1.023988      
880         880       3       625       891       1.425600      
881         881       3       1554      1594      1.025740      
882         882       3       627       839       1.338118      
885         885       3       819       1095      1.336996      
886         886       3       475       489       1.029474      
887         887       3       1324      1400      1.057402      
891         891       3       771       884       1.146563      
892         892       3       981       1229      1.252803      
894         894       3       1087      1129      1.038638      
896         896       3       828       851       1.027778      
897         897       3       576       714       1.239583      
