D{0-1}KP 动态规划求解结果
================================================================================
实例名称: IDKP10
dimension: 3000
组数: 1000
capacity: 496541
是否排序后求解: True
最优总价值: 581244
总重量: 496541
选中组数: 486
求解时间(秒): 7.182994
================================================================================

排序后序号       原始组号      选中项     重量        价值        价值重量比         
182         934       3       1419      1682      1.185342      
183         872       3       904       1071      1.184735      
184         608       3       1440      1706      1.184722      
185         823       3       1460      1729      1.184247      
186         100       3       424       502       1.183962      
187         680       3       671       794       1.183308      
188         629       3       754       891       1.181698      
189         785       3       1048      1236      1.179389      
190         829       3       1318      1554      1.179059      
191         689       3       754       889       1.179045      
192         439       3       1161      1367      1.177433      
193         586       3       919       1079      1.174102      
194         298       3       1211      1420      1.172585      
195         482       3       983       1152      1.171923      
196         895       3       916       1073      1.171397      
197         125       3       867       1015      1.170704      
198         475       3       907       1061      1.169791      
199         226       3       596       697       1.169463      
200         540       3       470       549       1.168085      
201         332       3       854       997       1.167447      
202         336       3       1408      1643      1.166903      
203         777       3       1440      1680      1.166667      
204         831       3       1554      1813      1.166667      
205         20        3       1086      1266      1.165746      
206         685       3       718       837       1.165738      
207         739       3       1291      1504      1.164988      
208         179       3       1109      1291      1.164112      
209         679       3       1094      1266      1.157221      
210         837       3       1585      1830      1.154574      
211         830       3       939       1083      1.153355      
212         766       3       1254      1446      1.153110      
213         489       3       355       409       1.152113      
214         907       3       530       610       1.150943      
215         652       3       830       955       1.150602      
216         673       3       1140      1310      1.149123      
217         39        3       1389      1596      1.149028      
218         171       3       796       914       1.148241      
219         958       3       446       512       1.147982      
220         889       3       1258      1444      1.147854      
221         436       3       1591      1826      1.147706      
222         266       3       1164      1335      1.146907      
223         325       3       953       1093      1.146905      
224         633       3       1628      1867      1.146806      
225         49        3       670       768       1.146269      
226         388       3       733       840       1.145975      
227         152       3       563       645       1.145648      
228         478       3       829       949       1.144753      
229         102       3       988       1131      1.144737      
230         979       3       1003      1148      1.144566      
231         328       3       1167      1335      1.143959      
232         389       3       660       755       1.143939      
233         533       3       792       906       1.143939      
234         291       3       931       1064      1.142857      
235         950       3       960       1097      1.142708      
236         859       3       1061      1212      1.142319      
237         460       3       1312      1498      1.141768      
238         258       3       639       729       1.140845      
239         579       3       943       1075      1.139979      
240         360       3       1096      1249      1.139599      
241         575       3       669       762       1.139013      
242         90        3       1324      1508      1.138973      
243         59        3       1137      1295      1.138962      
244         146       3       1538      1751      1.138492      
245         267       3       1297      1476      1.138011      
246         640       3       893       1016      1.137738      
247         875       3       1169      1330      1.137725      
248         157       3       860       978       1.137209      
249         101       3       1266      1438      1.135861      
250         485       3       1197      1359      1.135338      
251         181       3       824       933       1.132282      
252         277       3       1072      1212      1.130597      
253         848       3       1142      1288      1.127846      
254         194       3       450       507       1.126667      
255         970       3       1250      1407      1.125600      
256         995       3       1066      1198      1.123827      
257         32        3       1003      1127      1.123629      
258         530       3       714       802       1.123249      
259         763       3       982       1103      1.123218      
260         12        3       1060      1190      1.122642      
261         946       3       931       1045      1.122449      
262         33        3       1324      1485      1.121601      
263         805       3       1052      1178      1.119772      
264         792       3       828       927       1.119565      
265         123       3       831       930       1.119134      
266         155       3       1538      1720      1.118336      
267         366       3       865       967       1.117919      
268         563       3       1115      1246      1.117489      
269         607       3       882       985       1.116780      
270         921       3       439       490       1.116173      
271         610       3       674       752       1.115727      
272         425       3       1154      1287      1.115251      
273         126       3       538       600       1.115242      
274         447       3       1283      1429      1.113796      
275         498       3       1469      1636      1.113683      
276         516       3       1011      1125      1.112760      
277         264       3       352       391       1.110795      
278         471       3       695       772       1.110791      
279         22        3       750       833       1.110667      
280         947       3       1582      1757      1.110619      
281         704       3       1115      1232      1.104933      
282         920       3       549       606       1.103825      
283         705       3       951       1049      1.103049      
284         565       3       563       621       1.103020      
285         269       3       724       798       1.102210      
286         499       3       518       570       1.100386      
287         773       3       973       1070      1.099692      
288         318       3       1144      1258      1.099650      
289         413       3       1250      1374      1.099200      
290         70        3       1623      1777      1.094886      
291         638       3       1066      1167      1.094747      
292         626       3       1319      1443      1.094011      
293         532       3       1300      1421      1.093077      
294         614       3       691       755       1.092619      
295         456       3       1337      1460      1.091997      
296         476       3       808       882       1.091584      
297         115       3       693       756       1.090909      
298         637       3       1074      1171      1.090317      
299         62        3       1130      1231      1.089381      
300         767       3       764       832       1.089005      
301         616       3       607       661       1.088962      
302         416       3       1226      1334      1.088091      
303         571       3       1302      1416      1.087558      
304         77        3       810       880       1.086420      
305         214       3       996       1082      1.086345      
306         930       3       869       944       1.086306      
307         357       3       1262      1369      1.084786      
308         903       3       1214      1316      1.084020      
309         627       3       679       736       1.083947      
310         385       3       1205      1305      1.082988      
311         449       3       1154      1249      1.082322      
312         684       3       993       1074      1.081571      
313         150       3       983       1063      1.081384      
314         108       3       1162      1255      1.080034      
315         398       3       1182      1276      1.079526      
316         549       3       1467      1583      1.079073      
317         880       3       1340      1444      1.077612      
318         469       3       1690      1817      1.075148      
319         588       3       446       479       1.073991      
320         817       3       1179      1266      1.073791      
321         1000      3       1031      1105      1.071775      
322         116       3       1117      1196      1.070725      
323         922       3       1577      1688      1.070387      
324         982       3       1280      1370      1.070312      
325         68        3       1069      1143      1.069224      
326         966       3       1086      1161      1.069061      
327         313       3       1283      1371      1.068589      
328         334       3       1002      1070      1.067864      
329         210       3       1580      1687      1.067722      
330         426       3       1172      1251      1.067406      
331         669       3       984       1050      1.067073      
332         225       3       543       579       1.066298      
333         112       3       453       483       1.066225      
334         561       3       930       991       1.065591      
335         863       3       1223      1303      1.065413      
336         347       3       1402      1493      1.064907      
337         463       3       978       1041      1.064417      
338         971       3       1709      1818      1.063780      
339         1         3       1161      1235      1.063738      
340         24        3       946       1005      1.062368      
341         798       3       1605      1703      1.061059      
342         338       3       649       688       1.060092      
343         186       3       1236      1308      1.058252      
344         278       3       710       751       1.057746      
345         994       3       1135      1200      1.057269      
346         349       3       769       813       1.057217      
347         771       3       1107      1170      1.056911      
348         13        3       960       1013      1.055208      
349         961       3       1070      1129      1.055140      
350         364       3       1117      1177      1.053715      
351         507       3       1326      1395      1.052036      
352         677       3       663       697       1.051282      
353         195       3       1294      1360      1.051005      
354         314       3       447       469       1.049217      
355         250       3       674       707       1.048961      
356         402       3       1426      1494      1.047686      
357         246       3       1172      1227      1.046928      
358         856       3       1287      1347      1.046620      
359         570       3       1294      1354      1.046368      
360         16        3       652       682       1.046012      
361         129       3       1821      1902      1.044481      
362         231       3       682       712       1.043988      
363         686       3       637       664       1.042386      
364         576       3       553       576       1.041591      
365         247       3       1386      1443      1.041126      
366         913       3       1576      1640      1.040609      
367         375       3       1597      1661      1.040075      
368         747       3       626       651       1.039936      
369         140       3       1077      1120      1.039926      
370         523       3       952       989       1.038866      
371         740       3       1685      1750      1.038576      
372         367       3       871       903       1.036739      
373         192       3       995       1031      1.036181      
374         197       3       1334      1381      1.035232      
375         393       3       1002      1037      1.034930      
376         510       3       1220      1262      1.034426      
377         221       3       1059      1095      1.033994      
378         511       3       1585      1637      1.032808      
379         572       3       717       740       1.032078      
380         107       3       1580      1630      1.031646      
381         844       3       1375      1418      1.031273      
382         905       3       1820      1876      1.030769      
383         175       3       1321      1361      1.030280      
384         553       3       1104      1137      1.029891      
385         121       3       1011      1040      1.028684      
386         879       3       537       552       1.027933      
387         500       3       1378      1416      1.027576      
388         230       3       1179      1211      1.027142      
389         587       3       991       1016      1.025227      
390         550       3       1043      1069      1.024928      
391         311       3       844       865       1.024882      
392         453       3       874       894       1.022883      
393         826       3       853       871       1.021102      
394         959       3       668       682       1.020958      
395         493       3       1223      1248      1.020442      
396         271       3       1176      1200      1.020408      
397         645       3       739       754       1.020298      
398         407       3       1243      1266      1.018504      
399         631       3       495       504       1.018182      
400         166       3       1213      1235      1.018137      
401         644       3       1103      1123      1.018132      
402         45        3       1053      1072      1.018044      
403         138       3       1221      1243      1.018018      
404         465       3       1290      1313      1.017829      
405         276       3       923       939       1.017335      
406         384       3       1747      1776      1.016600      
407         283       3       1562      1586      1.015365      
408         219       3       1527      1550      1.015062      
409         868       3       692       702       1.014451      
410         806       3       773       784       1.014230      
411         333       3       964       977       1.013485      
412         928       3       1659      1679      1.012055      
413         292       3       854       864       1.011710      
414         759       3       739       747       1.010825      
415         10        3       981       991       1.010194      
416         727       3       827       835       1.009674      
417         697       3       1147      1158      1.009590      
418         999       3       1070      1080      1.009346      
419         978       3       1218      1229      1.009031      
420         404       3       1278      1288      1.007825      
421         46        3       1446      1457      1.007607      
422         410       3       563       567       1.007105      
423         560       3       1364      1373      1.006598      
424         932       3       1275      1283      1.006275      
425         824       3       651       655       1.006144      
426         355       3       1473      1482      1.006110      
427         52        3       690       694       1.005797      
428         558       3       933       938       1.005359      
429         376       3       837       841       1.004779      
430         395       3       693       696       1.004329      
431         177       3       706       709       1.004249      
432         733       3       1681      1688      1.004164      
433         28        3       1194      1198      1.003350      
434         967       3       1361      1365      1.002939      
435         730       3       1800      1805      1.002778      
436         64        3       1493      1497      1.002679      
437         331       3       1284      1287      1.002336      
438         244       3       1001      1003      1.001998      
439         756       3       1084      1086      1.001845      
440         6         3       834       835       1.001199      
441         807       3       888       889       1.001126      
442         31        3       1064      1065      1.000940      
443         424       3       1047      1047      1.000000      
444         290       3       1398      1397      0.999285      
445         942       3       1050      1049      0.999048      
446         363       3       1033      1032      0.999032      
447         143       3       834       833       0.998801      
448         91        3       651       650       0.998464      
449         7         3       1181      1179      0.998307      
450         124       3       868       866       0.997696      
451         310       3       432       431       0.997685      
452         890       3       1122      1119      0.997326      
453         418       3       747       745       0.997323      
454         531       3       723       721       0.997234      
455         21        3       794       791       0.996222      
456         725       3       932       927       0.994635      
457         106       3       1529      1520      0.994114      
458         791       3       960       954       0.993750      
459         929       3       1605      1594      0.993146      
460         308       3       1160      1152      0.993103      
461         294       3       825       819       0.992727      
462         941       3       1202      1192      0.991681      
463         965       3       1305      1294      0.991571      
464         649       3       1215      1204      0.990947      
465         74        3       660       654       0.990909      
466         144       3       850       842       0.990588      
467         356       3       702       695       0.990028      
468         110       3       1140      1128      0.989474      
469         79        3       1780      1761      0.989326      
470         205       3       1498      1482      0.989319      
471         678       3       939       927       0.987220      
472         625       3       859       848       0.987194      
473         722       3       1308      1291      0.987003      
474         908       3       759       749       0.986825      
475         502       3       523       516       0.986616      
476         755       3       1231      1214      0.986190      
477         624       3       1797      1770      0.984975      
478         188       3       1332      1310      0.983483      
479         731       3       1250      1229      0.983200      
480         199       3       1293      1271      0.982985      
481         260       3       938       922       0.982942      
482         312       3       868       853       0.982719      
483         951       3       1026      1007      0.981481      
485         512       3       575       564       0.980870      
490         573       3       1154      1129      0.978336      
507         104       3       288       279       0.968750      
